N	OP_P_T	T_B	TIME_DEVICE	TIME_HOST	TIME_onDEV
2	37	512	4.696846e-05	0.000000e+00	1.287460e-05
2	37	1024	4.696846e-05	0.000000e+00	1.311302e-05
2	38	64	4.696846e-05	0.000000e+00	1.287460e-05
2	38	128	4.696846e-05	0.000000e+00	1.287460e-05
2	38	256	4.601479e-05	0.000000e+00	1.287460e-05
2	38	512	4.696846e-05	0.000000e+00	1.287460e-05
2	38	1024	4.577637e-05	0.000000e+00	1.287460e-05
2	39	64	4.696846e-05	0.000000e+00	1.311302e-05
2	39	128	4.696846e-05	0.000000e+00	1.287460e-05
2	39	256	4.696846e-05	0.000000e+00	1.287460e-05
2	39	512	4.696846e-05	0.000000e+00	1.406670e-05
2	39	1024	4.696846e-05	0.000000e+00	1.406670e-05
2	40	64	4.696846e-05	0.000000e+00	1.311302e-05
2	40	128	4.601479e-05	0.000000e+00	1.287460e-05
2	40	256	4.696846e-05	0.000000e+00	1.382828e-05
2	40	512	4.601479e-05	0.000000e+00	1.382828e-05
2	40	1024	4.601479e-05	0.000000e+00	1.382828e-05
2	41	64	4.506111e-05	0.000000e+00	1.287460e-05
2	41	128	4.696846e-05	0.000000e+00	1.406670e-05
2	41	256	4.696846e-05	0.000000e+00	1.287460e-05
2	41	512	4.410744e-05	0.000000e+00	1.287460e-05
2	41	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	42	64	4.601479e-05	0.000000e+00	1.215935e-05
2	42	128	4.601479e-05	0.000000e+00	1.311302e-05
2	42	256	4.196167e-05	0.000000e+00	1.215935e-05
2	42	512	4.696846e-05	0.000000e+00	1.311302e-05
2	42	1024	4.220009e-05	0.000000e+00	1.287460e-05
2	43	64	4.601479e-05	0.000000e+00	1.382828e-05
2	43	128	4.696846e-05	0.000000e+00	1.192093e-05
2	43	256	4.696846e-05	0.000000e+00	1.311302e-05
