N	TIME_onDEV_T1	TIME_HOST	TIME_onDEV_Tp
524288	64	2.352269e-01	1.888037e-03	5.128145e-03
524288	128	2.352269e-01	1.888037e-03	2.576113e-03
524288	256	2.352269e-01	1.888037e-03	1.313925e-03
524288	512	2.352269e-01	1.888037e-03	6.899834e-04
524288	1024	2.352269e-01	1.888037e-03	3.519058e-04
524288	2048	2.352269e-01	1.888037e-03	1.890659e-04
524288	4096	2.352269e-01	1.888037e-03	1.208782e-04
524288	8192	2.352269e-01	1.888037e-03	9.298325e-05
524288	16384	2.352269e-01	1.888037e-03	9.298325e-05
524288	32768	2.352269e-01	1.888037e-03	9.298325e-05
1048576	1	4.703081e-01	3.741980e-03	4.703312e-01
1048576	2	4.703081e-01	3.741980e-03	2.596960e-01
1048576	4	4.703081e-01	3.741980e-03	1.423640e-01
1048576	8	4.703081e-01	3.741980e-03	7.174397e-02
1048576	16	4.703081e-01	3.741980e-03	3.646278e-02
1048576	32	4.703081e-01	3.741980e-03	2.057791e-02
1048576	64	4.703081e-01	3.741980e-03	1.026106e-02
1048576	128	4.703081e-01	3.741980e-03	5.138874e-03
1048576	256	4.703081e-01	3.741980e-03	2.603054e-03
1048576	512	4.703081e-01	3.741980e-03	1.368999e-03
1048576	1024	4.703081e-01	3.741980e-03	6.918907e-04
1048576	2048	4.703081e-01	3.741980e-03	3.898144e-04
1048576	4096	4.703081e-01	3.741980e-03	2.381802e-04
1048576	8192	4.703081e-01	3.741980e-03	1.759529e-04
1048576	16384	4.703081e-01	3.741980e-03	1.759529e-04
1048576	32768	4.703081e-01	3.741980e-03	1.759529e-04
2097152	1	9.409530e-01	7.524014e-03	9.410369e-01
2097152	2	9.409530e-01	7.524014e-03	5.183849e-01
2097152	4	9.409530e-01	7.524014e-03	2.850239e-01
2097152	8	9.409530e-01	7.524014e-03	1.440229e-01
2097152	16	9.409530e-01	7.524014e-03	7.303286e-02
2097152	32	9.409530e-01	7.524014e-03	4.091501e-02
2097152	64	9.409530e-01	7.524014e-03	2.049017e-02
2097152	128	9.409530e-01	7.524014e-03	1.027513e-02
2097152	256	9.409530e-01	7.524014e-03	5.212069e-03
2097152	512	9.409530e-01	7.524014e-03	2.729177e-03
2097152	1024	9.409530e-01	7.524014e-03	1.378059e-03
2097152	2048	9.409530e-01	7.524014e-03	7.328987e-04
2097152	4096	9.409530e-01	7.524014e-03	4.391670e-04
2097152	8192	9.409530e-01	7.524014e-03	3.581047e-04
2097152	16384	9.409530e-01	7.524014e-03	3.581047e-04
2097152	32768	9.409530e-01	7.524014e-03	3.581047e-04
4194304	1	1.880863e+00	1.532197e-02	1.880997e+00
4194304	2	1.880863e+00	1.532197e-02	1.038063e+00
4194304	4	1.880863e+00	1.532197e-02	5.701060e-01
4194304	8	1.880863e+00	1.532197e-02	2.869501e-01
4194304	16	1.880863e+00	1.532197e-02	1.457970e-01
4194304	32	1.880863e+00	1.532197e-02	8.226299e-02
4194304	64	1.880863e+00	1.532197e-02	4.100800e-02
4194304	128	1.880863e+00	1.532197e-02	2.053690e-02
4194304	256	1.880863e+00	1.532197e-02	1.036286e-02
4194304	512	1.880863e+00	1.532197e-02	5.447149e-03
4194304	1024	1.880863e+00	1.532197e-02	2.739906e-03
4194304	2048	1.880863e+00	1.532197e-02	1.547098e-03
4194304	4096	1.880863e+00	1.532197e-02	9.331703e-04
4194304	8192	1.880863e+00	1.532197e-02	7.379055e-04
4194304	16384	1.880863e+00	1.532197e-02	7.331371e-04
4194304	32768	1.880863e+00	1.532197e-02	7.331371e-04
