N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
2048	16	1.621008e-03	1.597404e-05	7.200241e-05	2.861023e-06
4096	16	3.287077e-03	3.099442e-05	1.380444e-04	3.814697e-06
8192	16	6.556988e-03	6.318092e-05	2.651215e-04	5.960464e-06
1	32	3.004074e-05	0.000000e+00	7.867813e-06	9.536743e-07
2	32	3.099442e-05	0.000000e+00	7.867813e-06	1.907349e-06
4	32	3.099442e-05	0.000000e+00	7.867813e-06	9.536743e-07
8	32	3.194809e-05	0.000000e+00	7.867813e-06	1.907349e-06
16	32	3.910065e-05	0.000000e+00	8.106232e-06	9.536743e-07
32	32	5.102158e-05	9.536743e-07	9.059906e-06	9.536743e-07
64	32	7.700920e-05	9.536743e-07	1.096725e-05	9.536743e-07
128	32	1.242161e-04	1.907349e-06	1.502037e-05	1.907349e-06
256	32	2.238750e-04	5.006790e-06	2.288818e-05	1.907349e-06
512	32	4.220009e-04	9.059906e-06	4.076958e-05	1.907349e-06
1024	32	8.151531e-04	1.692772e-05	7.295609e-05	1.907349e-06
2048	32	1.631975e-03	3.409386e-05	1.368523e-04	3.099442e-06
4096	32	3.244877e-03	6.818771e-05	2.648830e-04	4.053116e-06
8192	32	6.513119e-03	1.339912e-04	4.508495e-04	5.960464e-06
1	64	3.004074e-05	0.000000e+00	5.960464e-06	1.907349e-06
2	64	3.004074e-05	0.000000e+00	6.914139e-06	1.192093e-06
4	64	3.004074e-05	0.000000e+00	7.867813e-06	9.536743e-07
8	64	3.194809e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	64	3.886223e-05	9.536743e-07	8.821487e-06	1.192093e-06
32	64	5.102158e-05	1.192093e-06	1.001358e-05	1.907349e-06
64	64	7.700920e-05	2.861023e-06	1.502037e-05	1.907349e-06
128	64	1.280308e-04	5.960464e-06	2.312660e-05	1.907349e-06
